capability,decision,current_owner,target_owner,checkpoint,status,verification,notes
Native HTTP API,complete,"axum routes with some legacy server merge","/api/v1 resource API only",CM-005,partial,"Native API tests and daemon smoke exist.","Remove JSON-RPC merge after native coverage replaces useful behavior."
Native event stream,complete,"NativeEvent bus plus legacy event code","/api/v1/events only",CM-005,partial,"Native event tests exist for lifecycle, progress, source failure, BT events.","Delete aria2 notification stream and legacy projection."
Native CLI,replace,"clap commands with aria2-shaped options","raria-native command and option names",CM-006,partial,"Native --api-port and some hook names exist.","Delete aria2 names instead of aliasing them."
Native configuration,replace,"Strict native config plus old runtime fields","strict raria.toml only",CM-006,partial,"native_config exists and old parser was removed, but GlobalConfig still carries legacy names.","Rename public fields and docs to native concepts."
Native documentation,replace,"README plus old modernization docs","native product docs only",CM-020,partial,"README partly documents native API.","Delete compatibility wording and retire old docs."
Task identity,replace,"TaskId facade with Gid runtime bridge","TaskId-owned runtime and public API",CM-007,partial,"TaskId projections and registry bridge exist.","Gid may remain only as temporary private code until removed."
Task runtime model,replace,"Job-driven engine and registry","native Task service",CM-008,partial,"Native projections and helpers exist.","Move lifecycle, mutation, status, and scheduling ownership out of Job."
Queue scheduling,modernize,"Scheduler with native task IDs and legacy adapters","native queue and priority model",CM-008,partial,"Queue route and seeding detachment coverage exist.","Delete legacy queue adapters."
Lifecycle controls,modernize,"Native routes bridged to Gid operations","TaskId service operations",CM-008,partial,"Pause, resume, remove, restart exist.","Remove public Gid flow."
Progress and stats,modernize,"Native projections plus old event bus","native progress and stats source",CM-005,partial,"Native stats and progress events exist.","Delete old event dependency."
Runtime mutation,modernize,"Native routes with mixed backend enforcement","native mutation policy",CM-008,partial,"Transfer, source, file, tracker, queue, seeding routes exist.","Finish BT enforcement and remove compatibility paths."
Structured logs,retain,"raria logging helpers","native structured logs",CM-019,partial,"Logging contract and redaction tests exist.","Keep native task correlation only."
Hooks,modernize,"Native hook names with legacy runtime context","native lifecycle hooks or event consumers",CM-019,partial,"Hook smoke coverage exists.","Avoid compatibility hook names."
HTTP/HTTPS transfers,retain,"reqwest backend","reqwest with native policy",CM-011,partial,"HTTP smoke and config tests exist.","Close TLS, mTLS, proxy, cookie, netrc, metadata, resume coverage through native surfaces."
FTP/FTPS transfers,retain,"suppaftp backend","suppaftp with native policy",CM-012,partial,"FTP and FTPS smoke tests exist.","Keep focused tests only."
SFTP transfers,retain,"russh backend","russh and russh-sftp with native policy",CM-012,partial,"SFTP smoke tests exist.","Verify known_hosts, key auth, proxy, resume, metadata."
Multi-source failover,retain,"native source health and daemon failover","native source graph and health policy",CM-013,partial,"Source health and failure event coverage exists.","Finish adaptive behavior across source changes."
Adaptive segmented downloads,complete,"SegmentExecutor and one-shot daemon planning","resume-safe adaptive segment planning",CM-013,gap,"Current planning can reuse stale plan across mirrors.","Replan when source capabilities change and no meaningful bytes are retained."
Resume and crash recovery,complete,"native rows plus old fallbacks","native session recovery",CM-010,partial,"Session save and restore tests exist.","Remove old Gid segment fallback after native coverage."
Whole-file checksums,retain,"checksum module and daemon verification","native checksum policy",CM-014,covered,"Checksum tests and Metalink checksum smoke exist.","Keep regression coverage."
Piece checksums,complete,"Metalink and BT pieces separated","unified native piece model",CM-014,partial,"Piece checksum tests exist for Metalink; BT metadata exists.","Unify range and BT verification state."
File allocation,modernize,"file_alloc module","native allocation policy",CM-014,partial,"Allocation tests exist.","Revalidate with resume and conflict policy."
Conflict policy,modernize,"rename overwrite and partial behavior","native conflict policy",CM-014,partial,"Rename and BT selected cleanup exist.","Define fail, overwrite, rename, reuse-partial behavior."
Metalink,retain-modern,"quick-xml parser and normalizer","modern native Metalink task graph",CM-015,partial,"Parser, normalizer, native task creation, checksum, and metaurl evidence exist.","Drop old XML/compatibility baggage."
BitTorrent torrent ingress,retain,"librqbit service","native torrent tasks through librqbit",CM-016,partial,"Torrent file, bytes, remote torrent, and WebSeed-backed smokes exist.","Close metadata lifecycle."
BitTorrent magnet metadata,complete,"librqbit magnet path","native magnet lifecycle",CM-016,partial,"Metadata event coverage exists.","Add only focused lifecycle evidence."
BitTorrent DHT,retain,"librqbit DHT wiring","native DHT policy and persistence",CM-016,partial,"DHT persistence tests exist.","Verify shutdown persistence."
BitTorrent UDP trackers,retain,"librqbit tracker options","native tracker projection",CM-016,covered,"Local UDP tracker smoke exists.","Keep regression coverage."
BitTorrent PEX,document-or-wrap,"librqbit behavior with limited policy control","library support or minimal native gate",CM-017,partial,"Policy limitation documented in old matrix.","Verify current public API before wrapping."
BitTorrent WebSeed,complete,"raria WebSeed support and librqbit integration","native WebSeed status and failure projection",CM-017,partial,"WebSeed daemon smokes exist.","Add explicit projection only if needed."
BitTorrent file selection,complete,"native route plus librqbit update_only_files","native file selection and persistence",CM-017,partial,"Native file route and daemon smoke exist.","Remove legacy select-file dependency."
BitTorrent tracker management,complete,"native routes plus limited backend live mutation","native tracker policy",CM-017,partial,"Tracker projection and mutation tests exist.","Document or wrap backend limitation for live mutation."
BitTorrent peer projection,complete,"native peer snapshots","native peer resource",CM-017,partial,"Peer route and events exist.","Avoid overfitting client-specific fields."
BitTorrent seeding controls,complete,"native seeding policy with runtime logic","native seeding lifecycle",CM-017,partial,"Seeding route and lifecycle smoke exist.","Close upload limit and fastresume binding."
BitTorrent fastresume,complete,"librqbit JSON persistence dir","native metadata reference to external state",CM-017,partial,"Fastresume directory binding smoke exists.","Restore across daemon restart."
Rate limiting,complete,"governor range limiter and partial BT limits","global and per-task policy",CM-018,partial,"Download limits and mutation tests exist.","Wire upload limit where library supports it."
Retry model,modernize,"executor retry and daemon classification","typed native retry classification",CM-018,partial,"Retry tests exist.","Keep small policy layer."
