dependency,decision,reason,current_owner,target_owner,checkpoint,status,notes
tokio,retain,Workspace runtime and mature async TCP UDP timer task owner,workspace dependency,raria-ed2k runtime,ED2K-003,pending,Do not introduce another runtime.
redb,retain,Existing native persistence engine with raria-owned schema versions,workspace dependency,ED2K identity peer source Kad and credit rows,ED2K-007,pending,redb is storage engine only.
serde,retain,Existing serialization boundary for native API and persistence,workspace dependency,ED2K native structs,ED2K-003,pending,Keep schemas versioned.
md4,add-narrow,RustCrypto MD4 0.11.0 is a mature hash primitive for ED2K root and part hashes,workspace dependency,ED2K hash primitive,ED2K-005,verified,Use ED2K rules locally; do not outsource the protocol.
sha1,retain-narrow,Existing hash primitive supports AICH tree material,workspace dependency,AICH hash primitive,ED2K-005,verified,Keep AICH ownership local.
flate2,add-narrow,flate2 1.1.9 is a mature compression crate with a pure Rust backend for compressed ED2K payload wrappers,workspace dependency,raria-ed2k packet compression wrappers,ED2K-008,verified,Part-level validation and disk safety remain owned by ED2K-016.
governor,retain,Existing rate limiting primitive for native transfer policy,workspace dependency,ED2K source and upload rate policy,ED2K-014,pending,Small native policy layer only.
axum,retain,Existing native HTTP JSON and WebSocket framework,workspace dependency,ED2K API and event resources,ED2K-024,pending,No JSON-RPC.
tracing,retain,Existing structured logging boundary,workspace dependency,ED2K task logs,ED2K-024,pending,Keep redaction and task correlation.
ed2k crate,evaluate-narrow,ed2k 1.0.1 is an ED2K hash helper and not a downloader engine,not present,possible test cross-check only,ED2K-002,verified,Do not add unless it reduces risk more than direct md4 use.
kademlia-dht,reject,kademlia-dht 1.2.0 is a generic Kademlia DHT and not eMule Kad wire protocol,not present,not used,ED2K-002,verified,Do not force-fit.
kad,reject,kad 0.6.1 is a generic futures Kademlia crate and not eMule Kad,not present,not used,ED2K-002,verified,Do not force-fit.
libp2p-kad,reject,libp2p-kad 0.48.0 implements libp2p Kademlia and would add an unrelated network model,not present,not used,ED2K-002,verified,Keep Kad native.
aMule source code,reject-copy,GPL reference code cannot be copied into Apache-2.0 raria,not present,behavior reference only,ED2K-002,verified,Use clean Rust implementation.
aria2-next ED2K source,reject-copy,GPL engineering reference cannot be copied and carries incompatible public surfaces,not present,engineering reference only,ED2K-002,verified,Use tracker lessons only.
UPnP NAT crates,do-not-add,Router helper stacks are pruned from the ED2K target,not present,not used,ED2K-020,pending,Expose explicit listen and firewall state only.
