item,type,decision,reason,impact
Project identity,scope,"Treat raria as a new project.","User wants low migration friction for new tasks, not old state compatibility.","Old aria2 state is intentionally not supported."
Architecture,architecture,"Prefer Tokio actor or event-driven task state machines.","Rust can model task orchestration directly without cloning aria2's C++ polling command model.","Internal design can be simpler and more modern."
Mature libraries,engineering,"Use mature crates by default and probe before rejecting them.","Avoid hand-rolled protocol and parser code when stable crates exist.","Implementation work stays focused on raria-specific behavior."
ED2K,scope,"Defer ED2K implementation from phase one.","User explicitly removed ED2K from the first phase.","ED2K inputs and RPC methods return explicit unsupported behavior."
Old .aria2 migration,prune,"Do not implement old control-file migration.","Old tasks are out of scope.","Users start new raria tasks."
XML-RPC,prune,"Do not implement XML-RPC in phase one.","New-session replacement target centers on JSON-RPC and WebSocket.","Old XML-RPC clients must migrate."
rpc-user/rpc-passwd,prune,"Do not implement deprecated RPC username/password authentication.","aria2-next already marks it deprecated in favor of rpc-secret.","Clients use token-based rpc-secret."
HTTP pipelining,prune,"Do not implement HTTP/1.1 pipelining.","Modern HTTP stacks and multiplexing make it poor fit for the new core.","Option is ignored or unsupported with clear messaging."
event-poll option,prune,"Do not expose backend-specific event polling choices.","Tokio owns runtime polling details.","Old event-poll tuning is not part of raria's API."
JSON-RPC GET and JSONP,prune,"Do not implement GET query RPC or JSONP in phase one.","The replacement target is new apps and scripts that can use POST or WebSocket.","Legacy browser-only callers must move to POST or WebSocket."
libaria2 C API,prune,"Do not implement the old embedding API in phase one.","The requested low-friction path is CLI and RPC new-session replacement.","Embedding clients are outside the first release gate."
BitTorrent library policy,engineering,"Probe librqbit before accepting it because the published crate is an rc release.","The mature-library rule still allows objective probing, but rc status is a real risk.","If the probe fails, use bendy for metadata and record a narrower torrent plan before implementing core behavior."
RPC library policy,engineering,"Probe jsonrpsee first and fall back to axum plus serde_json if response shaping is constrained.","aria2-compatible token handling and result/error shapes are more important than a framework macro path.","The RPC checkpoint must include contract fixtures before committing to the server crate."
Hook commands,prune,"Do not implement on-download process hooks in phase one.","WebSocket notifications and RPC polling are cleaner integration points for the target new-session clients.","Users needing hooks can subscribe to events or wrap the process externally."
Daemon mode,prune,"Do not implement built-in daemonization in phase one.","Foreground binaries compose better with launchd, systemd, and containers.","The process stays simpler and easier to supervise."
JSON option policy,engineering,"Unknown options are errors; known unsupported options return explicit unsupported behavior; known pruned options return a clear prune message or warning depending on call path.","This avoids silent fake compatibility while keeping migration failures readable.","CLI/config/RPC option tests must cover one case from each class."
