capability,decision,current_owner,target_owner,checkpoint,status,verification,notes
Reference authority,adapt,core tracker excluded ED2K,ed2k-native tracker with aMule authority,ED2K-001,verified,Tracker activation records aMule as behavior authority and aria2-next as engineering reference only.,Do not copy GPL code.
Authority owner map,adapt,not present,documented aMule behavior-owner map,ED2K-002,verified,"Local aMule source inspection mapped ED2KLink, Server, ServerList, ServerSocket, ServerUDPSocket, ClientTCPSocket, ClientUDPSocket, DownloadClient, DownloadQueue, PartFile, KnownFile, SharedFileList, UploadQueue, ClientCredits, SearchList, DeadSourceList, protocol constants, and src/kademlia owners.",Use as behavior evidence only.
Engineering reference map,adapt,not present,documented aria2-next ED2K tracker map,ED2K-002,verified,"aria2-next ed2k-refactor and ed2k-download-hardening trackers are mapped as checkpoint grouping, prune-decision, runtime-hardening, and validation references.",Do not inherit JSON-RPC aria2 options Motrix fields or C++ structure.
License isolation,adapt,not present,GPL reference boundary recorded,ED2K-002,verified,"aMule GPL v2 text and raria Apache-2.0 workspace license were checked; ED2K work must be behavior-level research with independent Rust implementation.",No copied source comments tests names or packet handler structure.
Rust engine availability,adapt,not present,native raria-ed2k ownership,ED2K-002,verified,"crates.io searches and cargo info found no mature Rust ED2K/eMule downloader engine. ed2k is hash-only; generic Kademlia crates are not eMule Kad.",Use mature primitives and local protocol ownership.
Native public surface,add,not present,"raria.toml, /api/v1, /api/v1/events, native CLI",ED2K-024,verified,"cargo test -p raria-rpc --test native_api --locked covers ED2K task creation, native task summary fields, config projection, and task.ed2k.* WebSocket events. cargo test -p raria-cli ed2k --locked covers native CLI ED2K link parsing and daemon activation behavior. cargo test -p raria-core --locked covers ED2K backend-kind persistence and native event serialization.",No JSON-RPC or aria2-shaped method names.
ED2K crate boundary,add,not present,crates/raria-ed2k,ED2K-003,verified,"cargo check -p raria-ed2k --locked passed with module ownership boundaries and no runtime behavior claims.",Protocol behavior starts in later checkpoints.
ED2K task kind,add,JobKind has Range and Bt,JobKind::Ed2k with native projections,ED2K-003,verified,"Focused raria-core tests cover Job::new_ed2k, add_uri ED2K classification, and native ED2K kind creation. Daemon activation has an explicit not-implemented guard until runtime ownership exists.",Keep public IDs opaque TaskId values.
ED2K source protocol,add,SourceProtocol lacks Ed2k,SourceProtocol::Ed2k,ED2K-003,verified,"Focused native model tests cover ed2k:// source detection into TaskSource.",Detect ed2k:// links without compatibility aliases.
ED2K config skeleton,add,not present,raria.toml [ed2k],ED2K-003,verified,"native_config tests cover strict [ed2k] parsing and rejection of legacy ED2K option names.",Runtime use starts in later checkpoints.
ED2K persistence row names,add,not present,ed2k_identities redb table and NativeEd2kIdentityRow,ED2K-003,verified,"Focused persistence test covers ED2K identity row roundtrip and row versioning.",Runtime identity generation starts in ED2K-007.
ED2K links,add,not present,raria-ed2k link parser,ED2K-004,verified,"cargo test -p raria-ed2k link --locked covers file, server, serverlist, nodeslist, search, safe names, root hashes, part hashes, AICH roots, inline sources, crypt options, and malformed inputs.",Include safe filenames and link metadata.
ED2K root hash,add,not present,md4-backed ED2K hash implementation,ED2K-005,verified,"cargo test -p raria-ed2k hash --locked covers MD4 vectors, small files, exact part-size trailing empty hashes, and multi-part roots.",Use mature hash primitive with native ED2K rules.
MD4 hashsets,add,not present,native theoretical part-hash model,ED2K-005,verified,"cargo test -p raria-ed2k hash --locked covers theoretical part-hash counts for ED2K boundary sizes and rejects mismatched provided hashsets.",Cover exact part-size boundaries.
AICH,add,not present,native SHA-1 tree and recovery metadata,ED2K-005,verified,"cargo test -p raria-ed2k hash --locked covers AICH Base32 root parse/format, root tree boundaries, recovery metadata parse, and local recovery verification.",Do not claim unsupported peer recovery flows.
server.met,add,not present,native bootstrap metadata parser,ED2K-006,verified,"cargo test -p raria-ed2k server_met --locked covers endpoint parsing, dynip fallback, useful server metadata, and merge behavior that does not erase existing fields.",Use only as bootstrap data.
nodes.dat,add,not present,native Kad bootstrap parser,ED2K-006,verified,"cargo test -p raria-ed2k nodes_dat --locked covers count-first, versioned, bootstrap-edition, verified fallback, and obsolete contact filtering.",Filter obsolete unusable contacts.
Stable ED2K identity,add,not present,native redb identity row,ED2K-007,verified,"cargo test -p raria-ed2k identity --locked verifies one-time client hash generation, stable reload, and restart persistence through native redb rows.",Required for queues and credits.
Packet framing,add,not present,raria-ed2k packet codec,ED2K-008,verified,"cargo test -p raria-ed2k --locked covers TCP frame roundtrip, UDP datagram roundtrip, truncation, invalid length, unsupported protocols, and deterministic payload limits.",Compression wrappers are packet-level only until transfer handling lands.
Typed tags,add,not present,raria-ed2k tag codec,ED2K-008,verified,"cargo test -p raria-ed2k --locked covers compact IDs, text names, string and short-string values, UInt8/16/32/64, bool, HASH16, BSOB, and blob payloads.",No legacy tag-only compatibility layer.
Retained opcodes,add,not present,raria-ed2k opcode map,ED2K-008,verified,"cargo test -p raria-ed2k --locked covers retained server, peer, and Kad opcode naming and verifies legacy chat opcode 0x1e is not advertised.",Keep deprecated and pruned flows unnamed.
Server TCP,add,not present,raria-ed2k server session,ED2K-009,verified,"cargo test -p raria-ed2k --test server_tcp --locked covers login frame construction, IDChange, HighID/LowID derivation, TCP capability capture, status, identity tags, messages, GetSources, obfuscated FoundSources, and bounded retry policy.",Live socket loop wiring remains in ED2K-028.
Server UDP,add,not present,raria-ed2k UDP session,ED2K-010,verified,"cargo test -p raria-ed2k --test server_udp --locked covers status challenge handling, extended status metadata, hash-only and hash-size source requests, packed FoundSources parsing, unrelated-hash filtering, bogus-tail safety, and bounded cadence.",Live socket loop wiring remains in ED2K-028.
HighID LowID callback,add,not present,native reachability state,ED2K-011,verified,"cargo test -p raria-ed2k --test callback --locked covers HighID direct scheduling, LowID callback request, callback endpoint parsing, accepted/failed/timed-out transitions, and unadvertised direct UDP, Kad buddy, and required-crypt callback modes.",Server-mediated callback is the supported LowID path for now.
Peer handshake,add,not present,raria-ed2k peer session,ED2K-012,verified,"cargo test -p raria-ed2k --test peer_handshake --locked covers hello, hello answer, eMule info, eMule info answer, capability truth, and typed malformed-handshake failures.",Capability truth gates packet flows.
