dependency,decision,reason,current_owner,target_owner,checkpoint,status,notes
tokio,retain,Locked 1.51.1; single async runtime for all network and daemon services,workspace dependency,application runtime,CM-002,verified,Workspace-owned. Do not introduce a second runtime.
reqwest,retain,Locked 0.12.28; selected HTTP and HTTPS client for streaming proxy cookies TLS mTLS and range behavior,workspace dependency and raria-http,HTTP and HTTPS backend,CM-011,verified,Keep rustls configuration unless a concrete dependency forces another TLS boundary. reqwest transitive cookie_store 0.22 remains separate from the direct cookie_store 0.21 boundary.
reqwest_cookie_store,retain-narrow,Locked 0.8.2; bridges reqwest cookie persistence used by raria-http,workspace dependency and raria-http,HTTP cookie jar bridge,CM-011,verified,Review during CM-011 because it currently keeps cookie_store 0.21 while reqwest uses 0.22 transitively.
cookie_store,retain-narrow,Locked 0.21.1 directly for raria-http cookie persistence,workspace dependency and raria-http,HTTP cookie persistence,CM-011,verified,Duplicate with reqwest transitive cookie_store 0.22 is accepted until CM-011 can validate a safe cookie persistence upgrade.
suppaftp,retain,Locked 8.0.2 with tokio-rustls-ring; latest observed 8.0.3,workspace dependency and raria-ftp,FTP and FTPS backend,CM-012,verified,"Retain current major line; defer patch churn because focused FTP, FTPS, proxy, auth, and resume tests pass."
russh,retain,Locked 0.51.1; latest observed 0.60.2,workspace dependency and raria-sftp,SFTP transport,CM-012,verified,"Retain current line until a dedicated upgrade checkpoint because russh API churn is likely and focused SFTP tests pass."
russh-sftp,retain,Locked 2.1.1; latest observed 2.1.2,workspace dependency and raria-sftp,SFTP client,CM-012,verified,"Retain current major line; keep password, key, known_hosts, proxy, metadata, and resume coverage focused."
quick-xml,retain-modern-only,Locked 0.37.5; streaming XML parser for retained modern Metalink behavior,workspace dependency and raria-metalink,Metalink parser,CM-015,verified,Do not use it to preserve old XML compatibility.
librqbit,retain,Locked 8.1.1; best current Rust-native BitTorrent engine for raria,workspace dependency and raria-bt,BitTorrent backend,CM-017,verified,Workspace dependency owns the version. CM-017 uses public ratelimits for global and per-task BT bandwidth policy. PEX remains backend-owned because rustdoc exposes no disable control; do not reimplement peer exchange locally.
librqbit-bencode,retain-narrow,Locked 3.1.0; bencode metadata helper aligned with librqbit,workspace dependency and raria-bt,torrent metadata ingress,CM-016,verified,Keep only where librqbit public APIs require local metadata shaping.
librqbit-dht,retain-narrow,Locked 5.3.1; DHT support aligned with librqbit,workspace dependency and raria-bt,DHT support,CM-016,verified,Do not fork DHT logic unless a proven gap requires a tiny native layer.
redb,retain,Locked 2.6.3; embedded ACID key-value store suitable for local session state,workspace dependency and raria-core,persistence engine,CM-009,verified,redb is the engine; raria owns schema versions and migrations.
axum,retain,Locked 0.7.9 with WebSocket feature; selected native API framework,workspace dependency and raria-rpc,native API and event stream,CM-005,verified,Use for native surfaces only.
serde_json,retain,Locked 1.0.149; standard Rust JSON serialization for typed API contracts,workspace dependency,JSON ownership,CM-005,verified,No custom JSON parser.
rustls,retain,Locked 0.23.37; modern Rust TLS stack used by selected protocol crates,workspace dependency,TLS boundary,CM-002,verified,Prefer rustls unless a dependency forces another backend.
tokio-rustls,retain-narrow,Locked 0.26.4; FTP/FTPS and tests share the rustls async boundary,workspace dependency,async TLS bridge,CM-012,verified,Keep only where selected protocol crates or fixtures need it.
rustls-pemfile,retain-narrow,Locked 2.2.0; PEM parsing for FTP/FTPS certificate fixtures and config,workspace dependency and raria-ftp,TLS certificate parsing,CM-012,verified,Workspace-owned because it is part of the FTP/FTPS TLS boundary.
rustls-native-certs,retain-narrow,Locked 0.8.3; native trust store loading for FTP/FTPS TLS policy,workspace dependency and raria-ftp,TLS trust loading,CM-012,verified,Recheck during CM-012 if reqwest trust behavior changes.
governor,retain,Locked 0.8.1 directly; rate limiting primitive with native raria policy wrappers,workspace dependency and raria-core/raria-range,rate limiting,CM-018,verified,librqbit brings governor 0.10.4 transitively; do not churn direct policy code until CM-018.
clap,retain,Locked 4.6.0; CLI parser for native command names,workspace dependency and raria-cli,CLI,CM-006,verified,Generate completion only for retained native commands.
clap_complete,retain,Locked 4.6.0; shell completion generation for native CLI,workspace dependency and raria-cli,shell completion,CM-021,verified,Review after stale CLI deletion.
tracing,retain,Locked 0.1.44; structured instrumentation boundary,workspace dependency,structured logs,CM-019,verified,Keep native task correlation and redaction only.
tracing-subscriber,retain,Locked 0.3.23; log formatting and filtering,workspace dependency and raria-cli,structured logs,CM-019,verified,Keep JSON output where native product docs require it.
tracing-appender,retain,Locked 0.2.4; log file appender used by CLI/daemon,workspace dependency and raria-cli,log file output,CM-019,verified,Review rotation behavior in CM-019.
tokio-tungstenite,review,Locked 0.24.0; currently used in tests and legacy WebSocket paths,workspace dependency and tests,native tests or deleted,CM-020,pending,Keep only if needed for native WebSocket tests after JSON-RPC deletion.
jsonrpsee,remove,Locked 0.24.10; owns legacy JSON-RPC surface that is not a final raria public contract,workspace dependency and raria-rpc,deleted,CM-020,pending,Remove after native API covers useful behavior.
sha1,retain-narrow,Locked 0.10.6; legacy hash algorithm needed by BT metadata and selected integrity paths,workspace dependency and raria-core,hash helper,CM-014,verified,"Retain only as a protocol/hash requirement, not as compatibility surface."
sha1_smol,retain-narrow,Locked 1.0.1; local BT helper where librqbit-facing code needs it,workspace dependency and raria-bt,BT hash helper,CM-016,verified,Review during BT closure for duplicate hash helpers.
md-5,retain-narrow,Locked 0.10.6; checksum support for retained protocols and manifests,workspace dependency and raria-core,checksum helper,CM-014,verified,Retain only for real checksum formats.
async-stream,retain-narrow,Locked 0.3.6; stream helper in raria-ftp,workspace dependency and raria-ftp,FTP stream helper,CM-012,verified,Keep local use small.
home,retain-narrow,Locked 0.5.12; known_hosts and SSH path discovery helper,workspace dependency and raria-sftp,SFTP local path helper,CM-012,verified,Review with known_hosts policy.
libc,retain-narrow,Locked 0.2.184; linux-specific core system integration,workspace dependency and raria-core linux target,platform syscall boundary,CM-019,verified,Keep target-scoped. Delete only if daemon lifecycle no longer needs it.
serial_test,retain-test-only,Locked 3.4.0; isolated BT tests that share process-level resources,workspace dev dependency and raria-bt tests,focused test isolation,CM-016,verified,Do not spread into broad test scaffolding.
curl crate,do-not-add,Would reintroduce libcurl FFI and packaging complexity,not present,not used,CM-002,rejected,Use only if Rust-native FTP/SFTP choices fail with evidence.
SCP crate,do-not-add,"No mature Rust-native SCP backend was selected; `openssh` shells out to OpenSSH, `simple_ssh` is early 0.1.x, and `fast-scp` is a CLI tool",not present,not used,CM-012,rejected,Use SFTP for SSH-family file transfers.
libtorrent bindings,do-not-add,Rust bindings add C++ packaging complexity and are not needed while librqbit is the selected engine,not present,not used,CM-002,rejected,Do not replace librqbit without a separate evidence-backed decision.
OpenSSL,do-not-add,Not needed as a direct Rust dependency under current rustls strategy,not present,not used,CM-002,rejected,Use transitive native crypto only when required by selected libraries.
ED2K library,do-not-add,ED2K is outside the raria target and no selected mature Rust library is required,not present,not used,CM-020,rejected,ED2K is out of scope.
browser-cookie import library,do-not-add,Browser cookie import is outside the current native target,not present,not used,CM-020,rejected,Do not add unless a later checkpoint proves modern product value.
