capability,decision,current_owner,target_owner,checkpoint,status,verification,notes
Native HTTP API,complete,axum native API routes,/api/v1 resource API only,CM-005,verified,Native API contract tests and daemon shutdown smoke pass after JSON-RPC deletion.,Keep schema documentation for CM-021.
Native event stream,complete,NativeEvent bus and /api/v1/events,/api/v1/events only,CM-005,verified,"Native event tests pass for lifecycle, progress, source failure, BT metadata, seeding, peer, and tracker events after legacy notification deletion.",Keep event schema documentation for CM-021.
Native CLI,replace,native clap commands with deleted alias guards,raria-native command and option names,CM-006,verified,"Native flag names, alias rejection, help scan, and focused CLI tests pass.",Delete remaining compatibility-only tests in CM-020.
Native configuration,replace,Strict native config plus scoped later deletion debt,strict raria.toml only,CM-006,verified,"native_config exists, old parser was removed, rpc_listen_port and enable_rpc are gone, retained runtime fields use native names, and stale CLI/config scans pass.",Move task-level dir/out to native task ownership and delete JSON-RPC config debt in later checkpoints.
Native documentation,replace,README plus old modernization docs,native product docs only,CM-021,verified,"README, CHANGELOG, CONTRIBUTING, and tracker docs describe the native product contract, retained protocols, completion, and verification scope.",Keep product docs route-level and avoid external compatibility promises.
Native client integration,define,old JSON-RPC and legacy client assumptions,stable raria API and event stream for new clients,CM-021,verified,README defines future clients as native /api/v1 and /api/v1/events consumers using opaque taskId values and native fields only.,No legacy adapter contract is retained.
Shell completion,replace,clap_complete generated native command output,native completion for retained CLI only,CM-021,verified,`raria completion bash` emits native completion without runtime logs or removed old surface strings; focused product CLI test covers the contract.,"Generated scripts belong in var/ or install packaging, not source control."
Task identity,replace,TaskId facade with Gid runtime bridge,TaskId-owned runtime and public API,CM-007,verified,"TaskId is the public API, event, CLI hook, persistence row, and log correlation identity. Public scans have no Gid-facing product docs; native API tests assert no public gid field. Remaining Gid use is private runtime handle code only.",Keep private runtime handles out of public surfaces; remove only with a future internal simplification checkpoint.
Task runtime model,replace,Job-driven engine and registry,native Task service,CM-008,verified,"Native task creation, lifecycle, status projection, scheduler activation, cancellation, daemon execution descriptors, BT activation, restore, and terminal completion are covered by focused core, RPC, daemon, BT, and full workspace tests. Job remains a private executor row, not public state or storage truth.",No final compatibility surface depends on Job.
Queue scheduling,modernize,Scheduler with native task IDs and legacy adapters,native queue and priority model,CM-008,verified,"Scheduler stores TaskId queues, native queue routes mutate absolute positions, seeding detaches from download slots, and focused scheduler/API/daemon tests passed in the final workspace run.",No old public queue adapter remains.
Lifecycle controls,modernize,Native routes bridged to Gid operations,TaskId service operations,CM-008,verified,"Native pause, resume, remove, restart, shutdown, stop-after, stop-with-parent, SIGTERM, and SIGUSR1 behavior is covered by native API, core lifecycle, daemon lifecycle, and final workspace tests.",Private runtime handles may remain below the TaskId service boundary.
